name,trips,docks,lat,lon
Pierce St & Summerlea St,4766,19,40.4565066778013,-79.9323305943069
Eliza Furnace Trail & Swineburne St,4516,15,40.4258,-79.9534
Centre Ave & Addison St,1238,15,40.4446,-79.9783
Burns White Center at 3 Crossings,5077,15,40.4564,-79.98
Allegheny Station,2849,19,40.448301,-80.018007
10th St & Penn Ave,6661,15,40.4446526,-79.9960739
Liberty Ave & Gross St,6474,15,40.4595877,-79.9452035
Glasshouse,3556,15,40.4329,-80.003
South Side Trail & S 4th St,3739,15,40.431336,-79.995106
Zulema St & Coltart Ave,26080,19,40.436055,-79.956827
Ellsworth Ave & N Neville St,9248,15,40.448203,-79.947507
O'Hara St & University Place,31665,23,40.445117,-79.957118
S Bouquet Ave & Sennott St,56944,23,40.441638,-79.955764
Tioga St & N Homewood Ave,605,15,40.4542263889049,-79.8975444133529
Ivy St & Walnut St,10826,19,40.451781,-79.932253
Penn Ave & Putnam St (Bakery Square),4355,19,40.4559,-79.9153
Taylor St & Liberty Ave,6996,15,40.462778,-79.950868
21st St & Penn Ave,6096,19,40.4518,-79.9833
42nd St & Butler St,4421,15,40.470221,-79.96038
Boulevard of the Allies & Parkview Ave,29538,23,40.4344,-79.9519
Liberty Ave & Stanwix St,6442,15,40.4412,-80.0048
Forbes Ave & Market Square,7157,19,40.4407732,-80.0033121
North Shore Trail & Fort Duquesne Bridge,7160,23,40.4458,-80.0091
Penn Ave & 33rd St,4240,11,40.462,-79.9683
Penn Ave & S Whitfield St,5288,15,40.4616,-79.9257
S 27th St & Sidney St. (Southside Works),12759,23,40.4279908,-79.9662963999999
W Station Square Dr & Bessemer Court,2096,15,40.4338,-80.0047
Fifth Ave & S Bouquet St,25411,23,40.4422,-79.9576
Filmore St & S Bellefield Ave,18202,27,40.445145301354,-79.9510833862304
Shady Ave & Ellsworth Ave,6590,15,40.4591811,-79.9219961
First Ave & B St,4991,15,40.435922,-79.997551
Ross St & Fourth Ave,4623,15,40.4377006231877,-79.9964806777709
Schenley Dr & Schenley Dr Ext,19637,19,40.4423713,-79.9516881
N Dithridge St & Centre Ave,32846,19,40.451281,-79.952982
Butler St & 36th St,3497,15,40.4652642,-79.9656519999999
Penn Ave & S Pacific Ave,3217,15,40.4646,-79.9399
S Negley Ave & Centre Ave,9835,15,40.4573163,-79.9343308999999
Allequippa St & Darragh St,16744,23,40.443591,-79.965456
S 12th St & E Carson St,4256,19,40.4285997029226,-79.9863711512901
Penn Ave & 7th St,8887,19,40.443310169091,-79.9999958798892
S 22nd St & Sidney St,5826,19,40.4292122212107,-79.9745345629074
Second Ave & Tecumseh St,295,19,40.4088572936115,-79.9436837948181
Eliza St & Lytle St,472,15,40.4134809838224,-79.9482542789794
Hamilton Ave & Fifth Ave,776,15,40.457569790831,-79.9099523342468
N Braddock Ave & Hamilton Ave,308,15,40.4530103612023,-79.8912036932327
Bennett St & N Homewood Ave,197,15,40.4566220240671,-79.8975031968811
17th St & Penn Ave,5568,19,40.4496263051758,-79.9859178579666
Centre Ave & S Millvale Ave,14625,19,40.453211,-79.947761
Technology Dr & Bates St,6569,23,40.4305127832109,-79.9599889434196
Atwood St & Bates St,33995,19,40.4379869540702,-79.9537045276977
Coltart Ave & Forbes Ave,26961,18,40.4390117551208,-79.9602920330383
Bedford Ave & Memory Ln,886,19,40.4483608122211,-79.9782681978561
Centre Ave & Heldman St,1156,19,40.4428413514563,-79.9816155947067
W Ohio St & Brighton Rd,1885,19,40.4524674541611,-80.0138718403198
Brighton Rd & Pennsylvania Ave,1523,19,40.4564024103846,-80.0153926528312
Rosetta St & N Aiken Ave,887,15,40.4670182950645,-79.9352321542121
52nd St & Butler St,2637,19,40.4802827313896,-79.9542865670539
W North Ave & Federal St,5163,19,40.4552676644964,-80.0071234024383
Forbes Ave at TCS Hall (CMU Campus),16609,19,40.4446540054179,-79.9475354469635
Wilkinsburg Park & Ride,649,19,40.4469075070452,-79.8886448658325
